# This is the unprocessed dataset
X-axis,Y-axis,Cluster
6.698483991405154,6.4584774905415765,g
6.725410456311336,6.498399029655705,g
9.849761950374077,11.128270344485388,b
6.4192280109551385,6.853176359657269,g
6.138709566625686,6.795686103027001,g
6.7396796047608545,5.492105601417774,g
6.075970020759529,6.017128187789534,g
2.4521657989208334,2.528772601516848,r
2.890128181389998,3.417384457213693,r
10.205398835045452,11.050034687944697,b
5.771437643774716,7.106710512688385,g
9.612914812686089,10.864982187836478,b
5.402565949087483,4.755872146960963,g
2.3605576948334375,3.1839528704824698,r
9.966893396163744,10.576016516370697,b
6.6086524210878155,8.040128006418138,g
2.937850366704673,2.795807857779416,r
1.3591407788526455,2.9463894618237916,r
10.036464308224359,10.235103739002113,b
2.1509914246206,3.068236470098138,r
10.653574772877349,10.38662725920757,b
9.621850942736302,9.867575609277415,b
9.943332221121894,10.321010098123404,b
5.932231819842402,8.601881255314847,g
9.763086207997317,10.506047851185174,b
6.6896911936496855,7.421743153280521,g
1.7314659793174472,3.539763561605034,r
9.222994874853898,11.559602421912935,b
6.349664885596105,7.24586796234364,g
1.191268372365628,3.6512277265964044,r
2.295674358404857,3.5241704882697418,r
6.356706023390414,5.920630396352164,g
11.350768425390541,11.225508249591751,b
2.7135844323498377,2.8053762536059015,r
9.746660494521544,11.409184828956716,b
10.462518224296005,11.370397537599551,b
1.9466665215568908,3.212688709390629,r
1.820078522097611,3.2350403254171964,r
10.553554748111974,10.559072772006365,b
5.504963470868024,7.606207426789176,g
2.1745194008612607,3.6514742174403265,r
9.74572546780807,11.35278441245911,b
5.524214868564183,5.6272508522505955,g
7.3923892564613265,7.721551877239435,g
4.775477721642381,8.165997851302178,g
8.529428611394941,11.064512698202318,b
9.169881980703808,10.968818931746851,b
1.5391332843958954,3.3715241818835286,r
9.72781501777926,10.991234362042281,b
1.4324227968543755,2.5498733769392747,r
2.041564861620399,3.118631249369224,r
2.9028834798228984,3.0148509923600715,r
10.2712021122308,11.13763701459871,b
10.766587871222784,11.480473477330257,b
2.18775327533375,3.3570187719681934,r
10.49929668247037,10.806019317201503,b
2.072415536118137,2.630318263741576,r
9.632064706546547,11.737462313964363,b
2.7634968008333987,2.6090315856153694,r
5.831012483547152,6.740898855025711,g
1.8284422617384681,3.543512328134077,r
1.7417505639175752,2.7430683404496055,r
6.732653517831448,7.32232609888571,g
2.0043093557447884,3.048399669048652,r
9.477612484330212,11.114400866602418,b
10.5366338701469,11.765533545733055,b
4.637403317349661,7.963468683858036,g
6.148871778209012,7.817482284899901,g
2.512549262327761,2.327476187330065,r
9.96204215961703,11.06388186568041,b
11.23968201197723,10.498653744952966,b
2.619956048051468,2.5791924671911763,r
2.2318573494584713,3.154322751162788,r
7.3142858959190065,7.301009760861404,g
10.265413146895392,11.207684467237602,b
5.979638928847039,7.333248467070744,g
2.1672648049806438,2.8579261204217454,r
5.957059030628061,9.88704395088346,g
9.938518501549039,11.536850524236941,b
10.046420055261663,10.947304353089848,b
1.4115191478071427,2.3102084492904083,r
6.640790508672744,8.144322213894178,g
2.8350452063601277,3.4494001803764798,r
5.88441195324543,7.1718609445515265,g
9.720185599021374,10.879337817210061,b
10.373193719331562,10.80860533328669,b
10.141498362310214,10.341333803048139,b
9.316118541469784,11.411346620136502,b
6.479517651925918,5.681479809396205,g
10.196992152311266,11.179241841361845,b
2.0794081299340617,2.5363345044950596,r
2.5007361395418197,3.532303546015037,r
11.080848553369808,11.528228427885457,b
6.405425679611121,6.558971059566729,g
9.974055987638987,11.097320099585271,b
10.794278353813715,10.740221831490592,b
10.991944673707906,10.62251700797625,b
6.416987208318968,7.054219840837669,g
4.944084605184536,6.785586890265169,g
2.113864796349429,3.3295351293154507,r
5.920230823734828,7.29285593481543,g
1.756396395957798,2.8155488363866925,r
1.6460727966250266,2.149900551369935,r
1.2992252044709678,3.3270836394701,r
6.591296712743711,6.666459347066402,g
9.671609475924017,10.423216885801361,b
2.0907646238334627,3.762568032561609,r
6.150449256294471,6.847933627754845,g
10.124937527270566,11.392052741473561,b
10.362583851307068,11.334930520769177,b
10.145405300861647,10.435489180495049,b
4.826198000308425,6.789761764627139,g
9.42514567810633,10.558178876044995,b
9.718108846890443,11.243744906584205,b
5.507000796455537,7.152317525364207,g
1.8098389030780462,3.266667600921759,r
6.926615423638339,7.202553857329981,g
9.635088814276171,11.515925233988627,b
6.930058842208341,7.644889729077761,g
9.771850179512251,11.9851943916365,b
10.53003111538031,11.198784210658298,b
2.1956641971434347,2.8380015538233163,r
9.876244871261772,10.6765596462945,b
6.730918754529519,7.3039056033511525,g
8.945519105473174,10.863345019788307,b
2.4969750280979452,2.656252009833731,r
5.747343635180454,6.755522182191544,g
1.611041199126944,2.640797913540881,r
6.269516715635253,6.30491749869168,g
10.31132842072123,10.681421415931304,b
2.3351868320356295,3.0557984655899397,r
1.5980247249202026,2.916949300328491,r
